sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.036;58;;60rounds;Yes;No;2;0.66621;0.94167;0.00000;0.30558;1.60787;SYAgent@52;BoulwareNegotiationParty@53;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.0;0.0;0.9416666666666667;0.6662075599338653;party1_utility.xml;party2_utility.xml
0.034;51;;60rounds;Yes;No;2;0.66621;0.94167;0.00000;0.30558;1.60787;Terra@54;BoulwareNegotiationParty@55;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.0;0.0;0.9416666666666667;0.6662075599338653;party1_utility.xml;party2_utility.xml
0.045;53;;60rounds;Yes;No;2;0.66621;0.94167;0.00000;0.30558;1.60787;YXAgent@56;BoulwareNegotiationParty@57;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.0;0.0;0.9416666666666667;0.6662075599338653;party1_utility.xml;party2_utility.xml
0.032;45;;60rounds;Yes;No;2;0.55083;0.84736;0.18669;0.24785;1.39820;AgentSmith2016@58;BoulwareNegotiationParty@59;0.5508333333333333;0.847362004934721;0.5508333333333333;0.847362004934721;0.5508333333333333;0.847362004934721;0.0;0.0;0.5508333333333333;0.847362004934721;party1_utility.xml;party2_utility.xml
0.042;59;;60rounds;Yes;No;2;0.29693;1.00000;0.00000;0.66723;1.29693;PhoenixParty@60;BoulwareNegotiationParty@61;1.0;0.2969260373579895;1.0;0.2969260373579895;1.0;0.2969260373579895;0.0;0.0;1.0;0.2969260373579895;party1_utility.xml;party2_utility.xml
0.034;59;;60rounds;Yes;No;2;0.29693;1.00000;0.00000;0.66723;1.29693;CUHKAgent2015@62;BoulwareNegotiationParty@63;1.0;0.2969260373579895;1.0;0.2969260373579895;1.0;0.2969260373579895;0.0;0.0;1.0;0.2969260373579895;party1_utility.xml;party2_utility.xml
0.966;53;;60rounds;Yes;No;2;0.63008;0.71500;0.17546;0.30658;1.34508;ParsAgent@64;BoulwareNegotiationParty@65;0.715;0.6300806389200568;0.715;0.6300806389200568;0.715;0.6300806389200568;0.0;0.0;0.715;0.6300806389200568;party1_utility.xml;party2_utility.xml
0.034;56;;60rounds;Yes;No;2;0.46849;0.96667;0.02746;0.49465;1.43515;AresParty@66;BoulwareNegotiationParty@67;0.9666666666666668;0.46848669727080305;0.9666666666666668;0.46848669727080305;0.9666666666666668;0.46848669727080305;0.0;0.0;0.9666666666666668;0.46848669727080305;party1_utility.xml;party2_utility.xml
0.035;59;;60rounds;Yes;No;2;0.29693;1.00000;0.00000;0.66723;1.29693;Mercury@68;BoulwareNegotiationParty@69;1.0;0.2969260373579895;1.0;0.2969260373579895;1.0;0.2969260373579895;0.0;0.0;1.0;0.2969260373579895;party1_utility.xml;party2_utility.xml
0.029;46;;60rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;Atlas3@70;BoulwareNegotiationParty@71;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.0;0.7849999999999999;0.9285654723948509;party1_utility.xml;party2_utility.xml
0.025;39;;60rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;AgentH@72;BoulwareNegotiationParty@73;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.0;0.7849999999999999;0.9285654723948509;party1_utility.xml;party2_utility.xml
0.055;52;;60rounds;Yes;No;2;0.78591;0.81500;0.07806;0.14578;1.60091;SENGOKU@74;BoulwareNegotiationParty@75;0.815;0.785905062151012;0.815;0.785905062151012;0.815;0.785905062151012;0.0;0.0;0.815;0.785905062151012;party1_utility.xml;party2_utility.xml
0.022;39;;60rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;AgentW@76;BoulwareNegotiationParty@77;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.0;0.7849999999999999;0.9285654723948509;party1_utility.xml;party2_utility.xml
0.002;3;;60rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;AgentX@78;BoulwareNegotiationParty@79;0.6583333333333333;1.0;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;0.6583333333333333;1.0;party1_utility.xml;party2_utility.xml
0.034;56;;60rounds;Yes;No;2;0.68667;0.69683;0.19536;0.25174;1.38349;DrageKnight@80;BoulwareNegotiationParty@81;0.6866666666666668;0.696828288317183;0.6866666666666668;0.696828288317183;0.6866666666666668;0.696828288317183;0.0;0.0;0.6866666666666668;0.696828288317183;party1_utility.xml;party2_utility.xml
0.030;53;;60rounds;Yes;No;2;0.68493;0.88167;0.00000;0.26211;1.56660;kawaii@82;BoulwareNegotiationParty@83;0.8816666666666667;0.6849303286683233;0.8816666666666667;0.6849303286683233;0.8816666666666667;0.6849303286683233;0.0;0.0;0.8816666666666667;0.6849303286683233;party1_utility.xml;party2_utility.xml
0.524;54;;60rounds;Yes;No;2;0.58990;0.84667;0.10128;0.34424;1.43656;AgentBuyogMain@84;BoulwareNegotiationParty@85;0.8466666666666667;0.5898950545324148;0.8466666666666667;0.5898950545324148;0.8466666666666667;0.5898950545324148;0.0;0.0;0.8466666666666667;0.5898950545324148;party1_utility.xml;party2_utility.xml
0.114;59;;60rounds;Yes;No;2;0.29693;1.00000;0.00000;0.66723;1.29693;XianFaAgent@86;BoulwareNegotiationParty@87;1.0;0.2969260373579895;1.0;0.2969260373579895;1.0;0.2969260373579895;0.0;0.0;1.0;0.2969260373579895;party1_utility.xml;party2_utility.xml
0.045;56;;60rounds;Yes;No;2;0.47817;0.96250;0.02068;0.48411;1.44067;Groupn@88;BoulwareNegotiationParty@89;0.9625;0.4781701614657966;0.9625;0.4781701614657966;0.9625;0.4781701614657966;0.0;0.0;0.9625;0.4781701614657966;party1_utility.xml;party2_utility.xml
0.201;59;;60rounds;Yes;No;2;0.34805;0.53500;0.45382;0.63206;0.88305;AgentHP@90;BoulwareNegotiationParty@91;0.535;0.3480456507309718;0.535;0.3480456507309718;0.535;0.3480456507309718;0.0;0.0;0.535;0.3480456507309718;party1_utility.xml;party2_utility.xml
