sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.050;61;;60rounds;Yes;No;2;0.72167;0.97619;0.00000;0.07924;1.69786;Mercury@62;KLH@63;0.7216666666666667;0.9761884907982836;0.7216666666666667;0.9761884907982836;0.7216666666666667;0.0;0.0;0.0;0.7216666666666667;0.9761884907982836;party1_utility.xml;party2_utility.xml
;1;Session genius.core.session.Session@5bb21b69 failed: failed to construct agent : Execution failed of init<CaduceusDC16@64,Participant[Party64,PartyRepositoryItem[CaduceusDC16,agents.anac.y2017.caduceusdc16.CaduceusDC16,ANAC2017, is mediator=false],etc/templates/partydomain/party1_utility.xml]>:java.lang.NullPointerException: null:[agents.anac.y2017.caduceusdc16.CaduceusDC16, agents.anac.y2011.HardHeaded.KLH];60rounds;No;;0;;;;;;CaduceusDC16;KLH;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
0.085;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;YXAgent@66;KLH@67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.052;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;PonPokoAgent@68;KLH@69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
;4;Session genius.core.session.Session@23d2a7e8 failed: Failed to execute protocol: Execution failed of Rubick@70:java.lang.NullPointerException: null:[agents.anac.y2017.rubick.Rubick, agents.anac.y2011.HardHeaded.KLH];60rounds;No;;0;;;;;;Rubick;KLH;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
0.112;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;JonnyBlack@72;KLH@73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
1.140;57;;60rounds;Yes;No;2;0.72167;0.95238;0.02381;0.06766;1.67404;atlas@74;KLH@75;0.7216666666666667;0.9523769815965673;0.7216666666666667;0.9523769815965673;0.7216666666666667;0.0;0.0;0.0;0.7216666666666667;0.9523769815965673;party1_utility.xml;party2_utility.xml
1.231;51;;60rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;Agent_K@76;IAMhaggler2011@77;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.0;0.0;0.0;0.0;0.8483333333333334;0.8564909885811369;party1_utility.xml;party2_utility.xml
1.573;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;KLH@78;IAMhaggler2011@79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
1.654;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;Gahboninho@80;IAMhaggler2011@81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
3.946;60;;60rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;IAMhaggler2011@82;Gahboninho@83;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;0.0;0.0;0.6583333333333333;1.0;party1_utility.xml;party2_utility.xml
